[FPGA sim] port=12345  pass +fpga_id=N to tag output
[FPGA1] RX #34      data=0x02000007 (len=4 B)
[FPGA1] RX #34      data=0x02000000 (len=4 B)
[FPGA1] TX #34.0  data=0x01000000
[FPGA1] TX #34.1  data=0x01000001
[FPGA1] TX #34.2  data=0x01000002
[FPGA1] TX #34.3  data=0x01000003
[FPGA1] RX #34      data=0x02000001 (len=4 B)
[FPGA1] TX #34.4  data=0x01000004
[FPGA1] RX #34      data=0x02000002 (len=4 B)
[FPGA1] TX #34.5  data=0x01000005
[FPGA1] RX #34      data=0x02000003 (len=4 B)
[FPGA1] TX #34.6  data=0x01000006
[FPGA1] RX #34      data=0x02000004 (len=4 B)
[FPGA1] TX #34.7  data=0x01000007
[FPGA1] RX #35      data=0x02000005 (len=4 B)
[FPGA1] RX #35      data=0x02000006 (len=4 B)
[FPGA1] RX #35      data=0x02000007 (len=4 B)
[FPGA1] RX #35      data=0x02000000 (len=4 B)
[FPGA1] TX #35.0  data=0x01000000
[FPGA1] TX #35.1  data=0x01000001
